Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1970	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1973	8	1	4	0	1	0	0	0	0	0	0	0	5	0	0	0	0	
1974	3	0	1	0	1	15	60	0	0	0	0	0	0	1	0	0	0	
1975	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1977	50	92	139	0	3306	415	4924	0	0	3828	0	0	7	3	0	0	0	
1981	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1985	18	5	220	0	6300	8643	0	0	0	6400	0	0	0	2	0	0	0	
1986	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1987	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1989	2	0	0	0	0	0	0	0	0	9	0	0	0	1	0	0	0	
1991	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1993	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1996	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1997	10	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1998	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
2000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2002	10	0	21	0	111	0	148	200	0	400	0	0	4	0	0	0	0	
2003	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2004	17	0	0	0	115	0	400	0	0	60	0	0	1	1	0	0	0	
2005	5	0	0	0	6	1	24	0	0	0	0	0	3	0	0	0	0	
2006	1	0	0	0	0	600	2400	0	0	0	0	0	0	0	0	0	0	
2008	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
2011	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2015	1	1	30	0	20	0	0	0	0	0	0	0	1	0	0	0	0	
