Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1980	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1981	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1983	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1985	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
1994	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1998	1	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	
2000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2001	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2004	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2006	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
2008	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2013	5	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	
2014	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2016	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2017	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
