Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1974	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
1977	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
1979	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1981	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1983	1	0	0	0	0	0	480	0	0	0	0	0	0	0	0	0	0	
1987	2	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
1989	2	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1997	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
1999	4	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2002	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2003	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	
2005	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
2007	3	1	3	0	0	2	0	14	0	0	0	0	0	0	0	0	0	
2008	13	5	3	3	19	2	0	43	0	0	0	0	2	0	0	0	0	
2009	4	0	11	0	0	30	190	11	0	0	0	0	0	0	0	0	0	
2010	2	2	6	0	5	0	0	56	0	0	0	0	0	0	0	0	0	
2011	5	18	11	0	12	7	0	210	0	0	0	0	0	0	0	0	0	
2012	2	1	0	0	1	6	0	115	0	0	0	0	0	0	0	0	0	
