Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1970	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	600000	0	
1971	7	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0	
1972	31	0	0	0	0	0	20000	409300	0	0	0	411257000	0	0	189255	0	0	
1973	4	0	0	0	0	0	120	0	0	0	0	0	0	0	3000	0	0	
1974	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1975	60	0	0	0	0	0	0	0	0	0	0	12000000	0	0	0	0	0	
1976	213	0	0	0	0	0	0	0	0	0	0	0	0	0	520	0	0	
1977	3	0	0	0	0	0	0	0	0	0	0	0	0	0	900	0	0	
1978	35	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0	0	
1979	95	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	
1980	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1981	3	0	0	0	0	0	0	0	0	0	120000	800000	0	0	0	0	0	
1983	6	0	0	0	0	0	0	0	0	0	0	0	0	0	1120	0	0	
1984	1	0	0	0	0	0	0	0	0	0	15000000	0	0	0	0	0	0	
1985	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	400	0	
1987	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1988	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1989	41	0	0	0	0	0	0	0	0	0	0	0	0	0	23000	10000	0	
1990	39	0	0	0	0	0	1200	0	0	0	1500000	0	0	0	200	0	0	
1991	78	0	0	0	0	0	17000	0	0	0	0	0	0	0	0	0	0	
1992	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1994	6	0	0	0	0	0	0	0	0	0	0	5000000000	0	0	0	475000	0	
1995	8	0	0	0	0	0	0	0	0	0	0	10000000000	0	0	0	54000	0	
1996	16	0	0	0	0	0	0	195000	0	0	0	184000000	0	0	0	0	0	
1997	11	0	0	0	0	0	1100	0	0	0	0	70000000	0	0	30000	0	0	
1998	10	0	0	0	0	0	0	166000	0	0	0	100000000	0	0	3000	47000	0	
2000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2005	1	0	0	0	0	0	0	40000	0	0	0	0	0	0	0	0	0	
2010	6	0	0	0	0	0	0	30000	0	0	0	0	0	0	0	0	0	
2011	5	0	0	0	0	0	0	40000	0	0	0	0	0	0	0	0	0	
2012	28	0	0	0	0	0	0	62482	0	0	50800000	0	0	0	0	400000	0	
2013	10	0	0	0	0	0	0	0	0	0	120000000	0	0	0	22000	0	0	
2014	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
