Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1970	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1971	8	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	
1972	14	3	0	0	0	0	0	20000	0	0	0	15000000	0	0	4	0	0	
1973	9	0	0	0	0	0	0	0	0	0	0	0	0	0	35000	0	0	
1974	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1976	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1977	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1978	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	
1979	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1980	6	0	0	0	0	0	49	0	0	0	0	22000000	0	0	3012	0	0	
1981	7	0	12	0	0	0	0	0	0	0	0	0	0	0	1200	0	0	
1983	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1984	13	0	354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1986	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1987	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1988	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1989	4	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	
1990	9	0	80	0	0	0	0	0	0	0	20000000	0	0	0	0	0	0	
1991	1	0	0	0	0	0	0	0	0	0	0	0	0	0	180	0	0	
1992	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1993	4	0	0	0	0	0	2400	0	0	0	0	0	0	0	0	0	0	
1994	5	0	0	0	0	15000	0	1	0	0	0	0	0	0	0	25	0	
1997	1	0	0	0	0	400	0	0	0	0	0	0	0	0	0	0	0	
1998	13	0	0	0	0	0	0	0	0	0	0	0	0	0	36340	0	0	
1999	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2000	0	
2000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2001	2	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	
2003	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2004	1	0	0	0	100	3000	0	0	0	0	0	0	0	0	0	0	0	
2005	1	0	0	0	0	0	0	182000	0	0	0	0	0	0	0	0	0	
2007	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2008	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2800000	0	0	
2009	2	0	0	0	0	0	0	0	0	0	30000000	17411000000	0	0	100058	0	0	
