Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1970	92	3	3	0	5	178	2996	7400	0	1702	0	500870000	1	0	0	0	0	
1971	102	2	0	0	8	417	9932	33725	0	3330	0	3500000	0	0	0	0	100	
1972	124	8	0	20	11	10950	61596	11058	556	16955	0	0	24	1	90510	1280	0	
1973	38	0	4	0	1	220	1217	0	0	92	0	30000000	0	0	2000	0	0	
1974	46	20	17	13	506	2005	14936	3	0	6623	0	3300000	1	0	0	0	0	
1975	10	0	0	11	53	100	1238	0	0	500	230000	0	0	0	0	0	0	
1976	12	1	0	0	0	1	66	23	0	398	0	0	4	0	0	0	0	
1977	80	6	1	2	13	1	3403	240	11	1138	0	32000000	2	2	0	0	27	
1978	119	11	3	0	27	94	16370	2005	0	3034	0	0	0	0	44130	0	3	
1979	39	7	0	0	9	24	947	50	0	410	0	0	0	3	0	0	3700000	
1980	161	16	2	30	54	395	64140	3605	0	1708	1000000	6000000	2	5	272579	610	300	
1981	86	8	1	0	0	2396	3987	49	0	853	0	26500000	1	0	0	0	0	
1982	108	11	2	3	48	327	10494	0	0	2763	0	0	2	0	0	0	0	
1983	53	5	10	0	203	1	6799	0	0	3629	0	0	0	0	0	0	40	
1984	59	17	0	0	106	391	33282	2350	0	3646	0	50000000	0	0	300	0	0	
1985	9	4	0	0	35	0	0	0	0	0	0	9000000	0	0	0	0	0	
1986	111	17	2	4	2505	443	21657	0	315	1655	0	112025000	0	0	928	0	0	
1987	81	16	0	13	29	779	88278	1102	7868	451	2000000	71400000	0	1	0	0	0	
1988	21	3	5	0	24	269	4273	0	0	1016	0	0	0	1	0	0	0	
1989	36	1	8	0	0	124	985	0	0	629	0	0	0	0	0	0	0	
1990	43	3	2	0	12	75	996	0	0	0	0	0	0	0	0	0	0	
1991	120	4	2	1	34	2066	32718	4662	0	1555	0	0	101	0	3000	0	0	
1992	13	2	1	0	1	102	2220	15	0	178	0	0	0	0	0	0	0	
1993	126	9	6	2	8422	21157	187064	61541	0	5250	0	10118000000	3	0	695600	0	6460	
1994	57	3	0	0	0	336	1863	8900	0	56	0	0	0	0	0	0	4000	
1995	31	1	1	1	13	1231	5638	33640	0	274	10000000	0	1	0	0	0	807	
1996	2	0	0	0	0	11	33	0	0	33	0	0	0	0	0	0	0	
1997	60	3	4	15	171	1101	38297	550	0	4572	0	0	0	0	0	0	0	
1998	43	2	3	0	0	19	174	5000	0	26	0	0	0	1	0	0	0	
1999	89	3	5	2	91	851	3011	1900	0	533	0	0	0	0	0	0	0	
2000	117	9	6	4	10	4724	116570	9060	0	11585	0	0	2	0	0	0	300	
2001	38	12	5	5	1300	10054	35382	550538	0	16	0	5000000000	0	0	2500	0	0	
2002	8	4	0	3	222	10210	12875	46091	0	0	0	0	0	0	0	0	0	
2003	8	1	1	6	0	30	0	109	0	0	0	0	0	0	0	0	0	
2004	23	12	3	0	0	9000	958	260688	0	0	0	0	0	0	1500	0	6	
2005	15	2	3	0	316	10974	8533	40686	0	314	0	700000000	0	0	0	0	0	
2006	12	4	0	5	11	1405	1453	197151	0	52	0	0	0	0	0	0	100	
2007	7	0	0	0	7	10	26	9536	0	0	0	0	0	0	0	0	0	
2008	24	7	4	4	7094	6155	36060	1558613	0	5700	0	400000000	0	0	17300	0	0	
2009	31	4	18	1	521	230	2227	190611	0	4	0	0	0	0	0	0	1	
2010	3	0	1	0	0	30	0	108	0	0	0	0	0	0	0	0	0	
2011	12	1	19	0	57	30342	238	1381	0	113	0	0	0	0	0	0	0	
2013	5	0	0	0	20	100	0	0	0	0	0	0	0	0	0	0	0	
