Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1935	1	50	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
1949	1	17	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1963	2	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1972	2	0	4	0	2	0	200	0	0	252	0	0	0	0	0	0	0	
1976	1	0	0	0	10	0	0	40	0	0	0	0	0	0	20	150	0	
1985	16	24442	4970	0	5402	0	229154	0	0	0	246054338	34940000000	0	0	11000	700	0	
1986	2	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	
1987	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	
1988	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1989	4	0	0	0	0	0	0	0	0	0	0	1500000000	0	0	400	0	0	
1992	3	2	69	6	7	11	0	0	0	400	0	0	0	0	0	0	0	
1993	3	6	18	4	0	0	0	0	0	0	0	500000000	0	0	0	0	0	
1996	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1999	1	0	0	0	0	0	0	0	0	308	0	0	0	0	0	0	0	
2002	1	0	0	0	3	38	104	0	104	104	0	0	0	0	0	0	0	
2003	1	0	0	0	0	15	0	150	0	0	0	0	0	0	0	0	0	
2004	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2006	1	0	0	0	0	0	0	420	0	0	0	0	0	0	0	0	0	
2007	2	0	0	0	0	0	0	0	0	0	0	0	0	0	515	0	0	
2008	11	6	7	6	23	28	0	5284	0	0	0	0	0	0	724	0	0	
2009	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2012	1	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	
2014	1	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2016	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2017	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	
