Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1929	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
1939	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1943	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1944	1	3	0	0	1	0	0	15	0	0	0	0	0	0	0	0	0	
1948	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1952	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
1955	1	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	
1966	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1971	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1972	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1973	6	0	0	2	115	0	15	0	0	50	0	0	0	0	0	0	0	
1974	4	6	0	0	18	0	103	0	0	100	0	250000	0	0	0	0	0	
1975	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	
1976	7	0	0	0	48	24	149	0	0	0	0	2200000	0	0	0	0	0	
1977	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1978	4	0	0	0	25	140	0	50	0	0	0	0	0	0	0	0	0	
1979	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1981	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1982	2	0	0	0	67	0	0	1050	0	0	0	0	0	0	0	0	0	
1983	11	5	0	5	138	50	7	728	0	4000	0	0	0	1	0	0	0	
1984	3	0	0	0	0	0	0	500	0	0	0	0	0	0	0	0	0	
1986	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1987	9	2	0	0	10	0	0	0	0	0	0	40000000	0	0	0	0	0	
1988	3	0	0	0	0	0	0	0	0	0	0	8000000	0	0	0	0	0	
1989	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1990	5	2	0	8	0	0	108	1740	0	0	0	0	0	0	0	0	0	
1991	1	0	0	0	0	0	0	150	0	0	0	0	0	0	0	0	0	
1992	7	0	0	0	289	300	2080	1400	0	1080	0	0	0	0	0	0	0	
1993	9	0	0	0	45	30	144	432	0	0	0	0	0	0	150	0	0	
1995	1	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	
1996	17	14	1	10	43	130	768	1711	0	25	0	100000000	1	0	0	0	0	
1997	10	0	0	0	589	611	0	5247	0	0	0	0	0	0	0	0	0	
1998	4	0	0	0	29	21	120	225	0	0	0	300000000	0	0	0	0	0	
2000	2	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	
2001	1	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	
2002	2	0	0	0	6	0	0	2445	0	0	0	0	0	0	0	0	0	
2003	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2004	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2006	11	0	2	2	138	286	0	9615	0	0	0	0	0	0	0	0	0	
2008	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2009	3	0	0	0	7	41	0	1736	0	0	0	0	0	0	0	0	0	
2010	5	0	0	0	28	104	0	860	0	0	0	100000000	0	0	0	0	0	
2011	2	0	0	0	0	31	0	155	0	0	0	0	1	0	0	0	0	
2012	3	0	0	0	7	79	35	430	0	0	0	0	0	0	0	0	0	
2013	2	0	0	0	8	21	40	145	0	0	0	0	0	0	0	0	0	
2014	3	0	0	0	7	173	0	900	0	0	0	0	0	0	0	0	0	
2015	5	1	3	0	43	65	0	3315	0	0	0	0	0	0	250	0	0	
2016	1	0	0	0	19	0	0	80	0	0	0	0	0	0	0	0	0	
2017	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
