Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1979	1	200	23	0	0	0	0	0	0	23	0	0	0	0	0	0	0	
1981	2	3	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1983	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1984	1	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1986	1	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1990	1	86	54	0	0	0	0	11	0	54	0	0	0	0	0	0	0	
1991	2	12	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
1992	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1993	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1995	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1996	1	1	5	0	0	0	0	0	0	3	0	0	0	0	0	0	0	
1997	1	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	
1999	2	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2000	2	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
2001	2	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
2003	2	1	13	0	0	0	0	2	0	7	0	0	0	0	0	0	0	
2004	3	3	34	0	0	0	0	0	0	8	0	0	0	0	0	2	0	
2005	2	3	9	0	0	0	0	0	0	3	0	0	0	0	0	0	0	
2006	4	5	29	0	0	0	0	0	0	7	0	0	0	0	0	0	0	
2008	2	4	12	0	0	0	6	0	0	4	0	0	0	0	0	0	0	
2009	4	25	28	0	0	0	0	4	0	20	0	0	0	0	0	0	0	
2010	8	33	24	0	0	0	0	6	0	21	0	0	0	0	0	537	0	
2011	11	9	35	0	0	0	0	0	0	13	0	0	0	0	0	0	0	
2012	1	28	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
