Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1981	1	25	20	10	0	0	0	0	0	100	0	0	0	0	0	200	0	
1982	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	90	0	
1983	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	118	0	
1984	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	29	0	
1985	1	7	1	0	0	0	0	0	0	1	0	0	0	0	0	9	0	
1986	1	38	11	0	0	0	0	0	0	4	0	0	0	0	0	0	0	
1987	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1989	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	
1990	6	1	1	0	0	0	0	0	0	0	0	0	0	0	21	0	0	
1991	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	
1992	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1993	1	3	2	0	0	0	0	0	0	2	0	0	0	0	0	511	0	
1994	10	78	48	20	0	0	0	3	0	374	0	0	0	0	11	1160	0	
1995	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	17	0	
1996	2	3	0	1	0	0	0	0	0	0	0	0	0	0	0	130	0	
1997	2	2	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	
1999	1	3	1	0	0	0	2	6	0	1	0	0	0	0	0	35	0	
2002	3	4	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	
2003	5	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2004	4	128	50	10	0	0	0	0	0	400	0	0	0	0	0	50	0	
2005	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	200	0	
2006	7	4	13	0	0	0	0	57	0	2	0	0	0	0	83	473	0	
2007	4	2	2	0	0	0	0	0	0	2	0	0	0	0	0	33	0	
2008	3	4	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	
2009	3	1	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	
2010	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	
2011	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
