Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1977	1	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1983	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1984	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1986	1	2	0	0	0	0	0	0	0	0	0	0	1	1	3.8	0	115	
1997	1	0	0	0	0	0	0	6183	0	200	0	0	0	0	0	0	800	
2009	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	
2010	3	3	0	0	1	1	105	105	0	0	0	0	0	0	0	0	0	
2011	16	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2012	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2013	14	2	1	0	0	0	0	41677	0	0	0	45760000	0	0	0	0	0	
