Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1970	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1977	1	0	0	0	1	0	0	6	0	0	0	0	0	0	0	0	0	
1981	2	0	0	0	0	0	0	0	0	0	0	0	0	0	187.5	0	0	
1982	1	0	0	0	10	25	0	0	0	0	0	0	0	0	0	0	0	
1986	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1987	2	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	
1988	3	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	
1993	7	4	14	0	4	2	50	0	0	16	0	0	0	0	0	0	0	
1994	4	9	3	0	2	1	0	0	0	0	0	0	0	0	0	0	0	
1995	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	
1996	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	
1998	3	5	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	
1999	1	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	
2000	3	0	0	0	5	117	585	0	0	0	0	0	0	0	0	0	0	
