Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1980	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1982	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1983	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1988	1	0	0	0	0	0	0	0	0	0	20000000	0	0	0	0	0	0	
1990	8	0	0	0	0	0	0	0	0	0	100000000	0	0	0	80377	5	0	
1991	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1992	4	0	0	0	0	0	0	0	0	0	0	0	0	0	5000	40	0	
1998	1	0	0	0	0	0	0	0	0	0	0	0	0	0	200	0	0	
2000	1	0	0	0	0	73	0	0	0	0	851069	0	0	0	1125	0	0	
2002	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2007	2	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2008	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2010	7	0	0	0	0	0	0	19285	0	0	0	0	0	0	0	0	0	
2013	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2016	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2.5	0	0	
2018	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
