Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1906	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1913	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	
1920	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1921	1	0	40	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
1934	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1967	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1969	1	0	0	0	0	1	0	0	0	0	0	0	1	0	2	0	2	
1972	1	3	0	0	1	1	5	5	0	0	0	0	0	0	0	0	0	
1982	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2001	2	1	0	0	47	0	235	1000	0	1000	0	0	0	0	0	0	0	
2002	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2005	5	3	0	0	0	0	0	9659	0	9659	0	0	0	0	0	0	0	
2006	2	0	0	0	1	60	5	301	0	0	0	0	0	0	0	0	0	
2009	1	21	150	0	104	0	520	0	0	0	0	0	0	0	0	0	0	
