Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1903	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1916	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1917	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	
1926	3	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
1927	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	
1928	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1931	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1932	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1933	6	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	
1934	6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
1935	10	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	
1936	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	
1938	5	2	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	
1940	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
1941	5	1	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	
1942	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1946	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
1948	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1949	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1950	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
1952	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
1954	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
