Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1988	53	8	9	0	40	13	386	0	0	0	5576063	16398300	0	0	0	0	0	
1989	83	9	44	2	86	24	378	663	0	0	2016638	7094200	1	2	0	0	0	
1990	48	10	19	0	67	1	240	2	0	0	2355820	12588000	0	0	0	0	0	
1991	57	8	9	0	94	0	393	0	0	0	4542000	22660000	0	0	0	0	0	
1992	61	18	24	0	41	303	1116	0	0	0	2377000	11405000	1	1	0	0	0	
1993	37	11	18	0	48	0	1952	0	0	0	2257000	11285000	0	0	0	0	0	
1994	35	3	9	0	21	1	104	1500	0	0	6086000	25430000	0	0	0	0	0	
1995	33	9	36	0	46	8	191	0	0	0	4684998	23725000	2	1	0	0	0	
1996	50	7	34	0	43	8	419	15	0	0	3908000	24133000	1	0	0	0	0	
1997	68	13	79	0	50	32	397	43	0	600	3635700	21999000	0	0	0	0	0	
1998	84	22	69	0	113	14	2474	910	0	85	5910066	36471000	0	0	0	0	0	
1999	135	12	32	0	64	68	1453	250000	0	60	7163348	53376000	0	0	0	0	0	
2000	78	14	11	0	40	27	486	0	0	185	3913730	29353000	2	0	0	0	0	
2001	36	16	39	0	51	3	425	0	0	90	1421500	11010000	0	0	0	0	0	
2002	41	26	14	0	23	7	925	20	0	31	5609250	41506000	2	0	0	0	0	
2003	28	4	19	0	22	66	891	0	0	400	1365806	10311000	0	0	0	0	0	
2004	44	16	29	0	64	0	737	0	0	0	646800	4255000	0	0	0	0	0	
2005	50	15	73	0	37	22	879	3000	0	400	1173646	8990000	0	0	0	0	0	
2006	27	30	1	0	21	34	855	0	0	0	561823	4375000	0	0	0	0	0	
2007	37	8	1	0	29	4	1832	1500	0	0	20703000	157570000	0	1	6	0	0	
2008	7	5	2	0	3	0	62	0	0	0	193750	1550000	0	0	0	0	0	
2009	20	6	8	0	30	2	184	0	0	0	328500	2575000	0	0	0	0	0	
2010	17	2	0	0	1	2	5	0	0	0	913000	6380000	0	1	0	0	0	
2011	31	3	28	0	34	1	1367	0	0	1000	4858000	37635000	0	0	0	0	0	
2012	35	10	30	0	37	7	779	0	0	0	3821900	30510000	0	0	0	0	0	
2013	56	16	31	0	45	6	1315	80	0	187	4267000	34128000	3	0	0	0	0	
2014	46	9	27	0	65	10	6232	673	0	227	1301134	10110000	2	0	0	0	0	
2015	48	17	9	0	56	12	746	111	0	118	5290305	41225000	2	0	0	0	0	
