Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1990	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1991	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1992	3	1	0	1	1	0	5	0	0	0	0	0	0	0	0	0	0	
1993	8	7	0	0	0	0	480	0	0	0	300000	1500000	0	0	0	0	0	
1994	3	9	0	0	0	0	0	0	0	0	60000	300000	0	0	0	0	0	
1995	3	0	0	0	3	0	15	0	0	0	0	0	0	0	0	0	0	
1996	10	6	6	12	24	70	111	1100	0	14000	0	0	0	0	0	0	0	
1999	13	5	1	5	25	25	325	13030	0	317	0	0	0	0	0	0	0	
2000	7	21	2	1	2	23	85	375	0	50	1333	10000	0	0	0	0	0	
2001	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2002	8	4	0	2	0	110	550	3000	0	0	0	0	0	0	0	0	48	
2003	22	15	4	1	25	93	655	360	0	317	0	0	0	0	0	0	1000	
2004	7	7	1	0	50	25	290	6000	0	0	3000	20000	0	0	0	0	0	
2005	34	7	9	0	32	638	2844	330000	0	1025	64105	500000	1	0	0	0	75	
2006	42	7	0	3	11	286	1155	8000	0	2116	0	0	1	1	0	0	60	
2007	13	3	1	1	38	80	1630	65000	0	915	0	0	0	0	0	0	30	
2008	40	24	23	4	36	3953	21767	231000	40	729	1750000	14000000	0	0	1589	0	189318	
2009	11	2	0	0	7	89	3980	25650	0	0	0	0	0	0	0	0	228	
2010	26	5	6	4	45	425	2107	69750	0	846	0	0	0	1	0	0	825	
2011	35	26	2	15	75	594	9747	76087	0	430	0	0	0	1	0	0	310	
2012	18	5	4	0	4	75	145	18500	0	250	0	0	1	0	0	0	0	
2013	23	11	10	2	10	248	1247	263220	0	117	0	0	0	0	0	0	200	
2014	16	4	2	0	1	0	1	75689	0	9	0	0	0	0	0	0	15	
2015	11	0	0	0	1	25	36	4359	0	8	385000	3000000	0	0	0	0	0	
