Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1969	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1970	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1975	1	0	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1977	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1989	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1994	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1995	5	0	1	0	0	0	0	0	0	0	5400	0	0	0	16	0	0	
1999	2	0	0	0	0	0	0	0	0	0	6842	130000	0	0	0	0	0	
2002	9	0	0	0	0	0	0	15950	0	0	2813683	53460000	0	0	45350	0	0	
2010	1	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	
2011	12	0	0	0	7	72	14	379	0	0	0	998015	0	0	124	0	0	
2015	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
