Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1968	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1969	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1970	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1971	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1974	38	0	0	0	0	0	90000	0	0	0	0	0	0	0	0	0	0	
1975	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1976	12	0	0	0	0	0	0	0	0	0	74000	148000	0	0	0	0	0	
1978	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1979	14	0	0	0	0	4	0	0	0	214	9067500	18135000	1	0	51	0	20050	
1980	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1981	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1983	16	0	0	0	0	0	0	220	0	120	66000	132000	0	0	0	0	29	
1985	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1987	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1988	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1990	1	0	0	0	0	0	0	0	0	0	0	250000	0	0	0	0	0	
1991	2	0	0	0	5	0	140	0	35	0	10000000	20500000	0	0	1000	0	3423	
1992	1	0	0	0	0	0	0	35	20	0	0	0	0	0	0	0	0	
1993	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1994	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1995	2	7	0	0	0	0	156	806	0	0	0	0	0	0	0	0	0	
1996	10	0	0	0	0	0	0	17000	0	0	0	0	0	0	0	0	0	
1998	258	570	255512	2142	0	0	240718	0	0	1342280	0	336108316	3	2	50009.7	0	32	
1999	3	0	0	0	0	0	0	0	0	0	44903925	850000000	0	0	0	0	0	
2000	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3000	
2002	1	0	0	0	0	0	0	0	0	0	3243243	60000000	0	0	0	0	0	
2003	10	6	0	0	6	50	150	0	0	0	20000	4000000	0	0	70	0	0	
2004	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2005	9	0	0	0	0	0	0	0	0	0	2852631	54200000	0	0	226	0	5	
2008	8	8	0	0	19	16	25	3000	0	66	0	5000000	0	0	0	0	0	
2009	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
2010	252	10	0	1	22	885	250	88065	0	202	0	179340624.352	0	0	0	0	3	
2011	27	15	0	0	30	406	23	37490	0	4737	0	9006189.17	0	0	1001.5	0	260800	
2012	15	5	0	1	1	42	0	5006	1	0	0	0	0	0	0	0	0	
2013	1	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2014	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	
2015	12	6	0	0	1	8	0	884	0	13	0	672311.42	2	0	0	0	22000	
