Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1895	1	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1905	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1909	2	13000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1929	1	3200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1930	1	2514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1956	1	350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1957	1	1500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1958	1	132	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1960	1	480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1962	2	24200	5800	0	0	50	0	100000	0	0	30000000	0	0	0	0	0	0	
1968	3	20038	4050	100	0	0	0	80000	0	0	1000000	0	0	0	0	0	0	
1969	1	50	300	0	0	0	0	48000	0	0	0	0	0	0	0	0	0	
1970	2	380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1971	18	4000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1972	22	5057	1710	0	0	3500	0	22126	0	0	1000000	0	0	0	0	0	0	
1973	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1974	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1975	3	6014	200	0	715	0	0	0	2000	0	0	0	0	0	0	0	0	
1976	5	53	275	0	489	0	0	0	0	0	0	0	0	0	0	0	0	
1977	4	1139	784	0	2100	0	0	420641	0	0	0	0	0	0	0	0	0	
1978	2	25045	52	0	0	0	0	40052	0	0	50000000	0	0	0	0	0	0	
1979	7	569	623	0	0	0	0	20223	0	0	0	0	0	0	0	0	0	
1980	6	41	200	0	0	0	0	200	0	0	0	0	0	0	0	0	0	
1981	11	4335	4800	0	50	150	0	33000	0	0	1005000000	10000000	0	0	0	0	0	
1982	24	0	0	0	200	10	0	0	0	0	0	0	0	0	0	0	0	
1983	30	33	92	0	75	90	0	7421	0	0	5000000	0	0	0	0	959	0	
1984	27	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	
1985	61	5	87	0	1500	177	0	0	0	0	0	0	0	0	0	0	0	
1986	53	10	14	0	281	4	0	1900	0	0	0	0	0	0	0	0	0	
1987	47	4	1	0	497	300	0	3975	0	0	0	0	0	0	0	0	0	
1988	76	5	31	0	700	655	0	17030	0	0	0	0	0	0	0	0	0	
1989	54	117	35	0	27	80	0	1717	0	200	0	0	0	0	0	0	0	
1990	95	40002	96	0	0	616	0	731000	160	500000	8000000000	1100000000	0	0	0	0	0	
1991	101	2	61	0	45	2	0	2951	0	0	0	0	0	0	0	0	0	
1992	95	6	54	0	0	500	0	4050	0	0	0	220000000	0	0	0	0	0	
1993	204	24	52	0	0	2345	0	5003	0	0	0	6947000000	0	0	100	0	0	
1994	208	27	358	0	200	4550	0	16610	0	0	1400000	8500000000	0	0	0	0	0	
1995	126	0	11	0	412	430	0	0	0	0	0	6700000000	0	0	0	0	0	
1996	119	0	0	0	4	11	0	0	0	0	0	1500000000	0	0	0	0	0	
1997	191	2848	30470	1720	20550	36057	0	224100	0	0	30000000	1627700000000	0	0	0	0	10000	
1998	252	27	118	0	60	2716	0	9185	100	0	0	146310237000	0	0	0	0	0	
1999	216	35	150	0	124	5158	0	7220	0	1070	0	34193000000	0	0	0	0	0	
2000	121	2	30	0	0	100	0	4515	0	500	0	2300000000000	0	0	2000	0	0	
2001	157	1	10	0	0	60	0	1000	0	0	0	0	0	0	0	0	0	
2002	247	505	107	0	1919	71388	0	40841	0	1400	0	3300000000	0	0	2300000	150	0	
2003	320	26274	9650	525	27665	34383	0	297049	0	0	521666000	172000000000	0	0	0	0	0	
2004	479	60	212	0	4000	4129	0	0	0	0	0	520000000000	0	0	0	0	0	
2005	473	11	252	0	6601	2100	0	22022	0	0	0	445000000000	0	0	0	0	0	
2006	515	66	2026	0	37000	30261	0	168494	0	0	42262000	30007000000000	0	0	0	0	0	
2007	311	0	73	0	0	303	0	1000	0	0	0	15000000000	0	0	0	0	0	
2008	415	7	132	0	1	115	0	35	0	0	0	10600000000	9	0	0	0	0	
2009	286	0	511	0	0	2800	0	0	0	0	0	0	0	0	0	0	0	
2010	267	8	359	0	0	7748	0	0	0	0	0	0	0	0	0	0	0	
2011	23	0	30	0	0	8190	0	0	0	0	0	0	0	0	0	0	0	
