Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
2000	3	0	2	0	0	2	0	5	0	0	0	50499999.5	0	0	0	0	0	
2001	3	0	4	0	100	3	0	0	0	0	0	102200000	0	0	0	0	0	
2002	5	3	0	0	1	301	302	0	0	0	0	51599999.5	0	0	0	0	0	
2003	2	9	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	
2004	4	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2005	8	13	30	0	9	1	14	60	0	0	0	210500000	0	0	0	0	0	
2006	6	1	0	0	0	1053	13	1000	0	0	0	32000000	0	0	0	0	0	
2007	20	20	6	0	106	3	105	0	0	0	0	1117039998	0	0	0	0	0	
2008	5	0	4	0	0	0	37	0	0	0	0	950499999.5	0	0	0	0	0	
2009	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2010	3	42	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
2011	4	3	11	0	0	1	1	0	0	0	0	0	0	0	0	0	0	
2012	14	11	7	0	105	8	0	0	0	0	0	111000000	0	0	0	0	0	
2013	6	7	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	
2014	12	18	21	0	46	124	44	2337	0	0	0	410500000	0	0	0	0	0	
2015	7	0	0	0	3	101	0	124	0	0	0	502500000	0	0	0	0	0	
