Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1998	2	288	0	0	0	0	0	2819	0	0	0	2504163	0	0	0	0	0	
1999	4	3410	0	0	2182	0	0	293506	0	0	0	0	3544	0	0	0	0	
2001	2	0	27	476	612	0	0	27	0	0	0	0	0	0	0	0	0	
2002	9	57	2037	0	0	0	0	2037	0	0	0	0	0	0	0	0	0	
2003	12	796	696	0	77	0	23168	696	0	23168	0	0	607	44	0	0	0	
2004	11	1370	442	0	478	0	25630	442	0	25630	0	0	1829	139	0	0	0	
2006	4	6	113	0	34	0	3556	240	0	3556	0	0	0	0	0	0	0	
2007	5	15	8	0	2	0	0	8	0	0	0	0	0	0	0	0	0	
2008	4	1	15	0	9	0	3000	15	0	3000	0	0	0	0	0	0	0	
2009	3	3	19	0	9	0	0	405	0	0	0	0	3	0	0	0	0	
2010	31	35	536	0	31	0	44344	536	0	44344	0	0	0	1	0	0	0	
2011	6	11	23	0	50	8	361	23	0	361	0	0	0	0	0	0	0	
2012	10	6	81	0	214	26	1536	81	0	1536	0	0	0	0	0	0	0	
2013	4	10	7	0	137	0	2977	7	0	2977	0	0	0	0	0	0	0	
2014	5	12	116	0	41	0	505	116	0	505	0	0	2	0	0	0	0	
2017	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2019	9	39	91	0	138	0	7544	1979	0	7544	0	0	1	0	0	0	0	
