Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
2002	1	1	15	0	0	0	0	15	0	0	0	0	0	0	0	0	0	
2003	12	215	189	42	0	0	0	189	0	0	0	0	0	0	48000	0	0	
2004	5	63	147	12	0	0	0	674	0	0	0	0	0	0	0	0	0	
2005	4	277	126	0	0	0	0	126	0	0	0	0	0	0	0	0	0	
2006	13	175	545	371	0	0	0	545	0	0	0	0	0	0	0	0	0	
2007	12	245	434	302	0	0	0	434	0	0	0	0	0	0	0	0	0	
2008	31	75	211	105	0	0	0	285	0	0	0	0	0	0	0	0	0	
2009	35	268	142	503	2	0	0	191	0	0	0	0	0	0	0	0	0	
2010	22	53	119	89	0	0	0	257	0	0	0	0	0	0	0	0	0	
2011	23	289	304	193	0	0	0	304	0	0	0	0	0	0	0	0	0	
2012	21	81	68	76	8	0	13	93	0	13	0	0	0	0	0	0	0	
2013	39	175	65	84	0	0	0	91	0	0	0	0	0	0	0	0	0	
2014	50	205	121	157	0	0	0	138	0	0	0	0	0	0	0	0	0	
2015	37	101	93	68	0	0	0	95	0	0	0	0	0	0	0	0	0	
2016	20	116	129	61	0	0	0	129	0	0	0	0	0	0	0	0	0	
2017	6	52	46	10	0	0	0	46	0	0	0	0	0	0	0	0	0	
2018	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
