Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1982	12	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	
1983	4	0	200	0	0	0	0	0	0	100	0	50000	0	0	0	0	0	
1984	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1985	4	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	
1986	4	3	10	0	0	0	0	194	0	0	0	0	0	0	0	0	0	
1987	3	9	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	
1988	7	0	26	0	0	8	0	0	0	22	0	0	0	0	0	0	0	
1989	2	1	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
1990	2	0	0	0	0	0	1	10	0	0	0	0	0	0	0	0	0	
1991	13	4	34	10	7	33	0	39	0	214	0	0	0	0	0	0	20000	
1992	3	0	0	0	0	0	0	5	0	70	0	0	0	0	0	0	0	
1993	1	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	
1994	4	9	0	0	0	0	0	0	0	600	0	0	0	0	0	0	0	
1997	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1999	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2003	3	0	0	0	0	0	0	0	0	0	0	434000	0	0	0	0	0	
2005	3	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	
2006	4	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	
2007	3	3	184	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
2009	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2010	5	0	0	1	0	2	0	0	0	34	0	0	0	0	0	0	0	
2011	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2018	3	21	123	0	15	0	0	35	0	35	0	5000	0	0	0	0	0	
2019	2	0	9	0	0	0	0	0	0	0	0	0	0	0	10	0	0	
