Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1982	1	0	0	0	0	0	0	0	0	0	0	1000000	0	0	0	0	0	
1983	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1988	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1990	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1991	5	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	
1992	9	2	4	0	5	3	0	10	0	7	0	0	0	0	0	0	0	
1993	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1994	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	
1996	9	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
1997	5	2	0	0	1	0	0	2	0	0	0	0	1	0	0	0	0	
1998	6	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	
1999	3	0	1	0	0	1	0	1	0	0	0	600000000	1	0	0	0	0	
2000	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2001	3	0	0	0	0	0	0	3000	0	0	0	0	0	0	0	0	0	
2002	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2003	7	0	0	0	8	10	0	50	0	0	300000	0	0	0	0	0	0	
2009	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2012	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2013	8	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	
2014	1	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2016	1	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	
2021	1	0	0	0	0	0	0	582	0	0	0	0	0	0	0	0	0	
