Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1978	1	0	0	0	0	0	0	0	0	0	0	50000000	0	0	0	0	0	
1983	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1984	2	0	0	0	0	0	0	0	0	0	0	250215000	0	0	0	0	0	
1993	2	0	0	0	0	0	0	0	0	0	0	550000000	0	0	0	0	0	
1995	1	0	0	0	0	0	0	0	0	0	0	658000000	0	0	0	0	0	
1996	1	0	0	0	0	0	0	0	0	0	0	500000000	0	0	0	0	0	
1999	5	0	0	0	0	0	0	0	0	0	2500000000	2505400000	0	0	0	212	0	
2000	1	0	0	0	0	0	0	0	0	0	0	356000000	0	0	0	0	0	
2008	1	0	0	0	0	0	0	0	0	0	0	500000000	0	0	0	0	0	
2010	1	0	0	0	0	0	0	0	0	0	0	3826136	0	0	0	0	0	
