Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1973	11	30	0	0	0	1500	15000	0	0	0	0	0	0	0	0	0	0	
1974	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1982	53	2028	666	0	9089	7000	12165	0	20000	1000	0	0	0	0	170000	450000	0	
1991	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1994	11	0	0	0	0	0	0	0	0	70000	0	0	0	0	0	0	0	
1997	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1999	4	0	90	0	0	0	0	0	0	830	0	0	0	0	0	0	0	
2000	7	0	0	0	0	0	0	0	0	41000	0	0	0	0	0	0	0	
2001	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2002	2	0	0	0	0	0	0	0	167	420	0	0	0	0	0	0	0	
2005	1	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	
2006	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2007	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2009	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2012	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2013	49	0	0	0	0	0	0	800	0	0	0	0	0	0	0	0	0	
