Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1970	3	3	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	
1971	5	10	15	0	11	0	7	0	0	0	0	0	1	0	0	0	0	
1972	4	6	9	0	1	1	0	200	0	0	0	15000	0	0	0	0	0	
1973	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1974	17	10	153	0	33	5	84	0	0	0	0	150000	0	0	0	0	0	
1975	10	11	75	0	17	0	33	0	0	0	0	500000	0	0	0	0	0	
1976	1	0	0	0	20	0	80	0	0	0	0	0	0	0	0	0	0	
1977	4	2	11	0	0	1	0	0	0	0	0	80000	0	0	0	0	0	
1978	5	11	5	0	4	0	4	0	0	0	0	0	0	0	0	0	0	
1979	10	9	144	0	10	0	0	710	0	0	0	200000	0	0	0	0	0	
1980	2	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1982	6	16	81	8	0	0	0	0	0	0	0	0	0	0	0	0	0	
1983	2	2	11	0	0	0	0	0	0	0	0	30000000	0	0	130	0	0	
1984	2	1	201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1986	2	3	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1987	1	4	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1988	1	16	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1989	1	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1990	2	0	11	0	13	0	0	0	0	0	0	0	0	0	0	0	0	
1993	4	2	220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1994	5	2	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1995	1	0	0	0	0	7	0	0	0	30	0	0	0	0	0	0	0	
1999	9	3	138	1	0	4000	0	0	0	0	0	0	2	0	0	0	0	
2000	5	5	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2001	5	1	1	5	0	13	0	0	0	0	0	0	0	0	0	0	30	
2002	6	4	66	0	2	1	0	2000	0	0	0	0	1	0	0	0	20	
2003	2	1	26	0	0	5	0	0	0	0	0	0	1	0	0	0	0	
2004	6	0	0	0	0	2050	0	13000	0	800	0	0	0	0	0	0	0	
2005	22	5	54	2	0	185	0	1890	0	0	0	40000	3	0	0	0	0	
2006	23	8	30	0	6	17866	24	1596	0	0	0	190000000	3	0	0	0	0	
2007	23	10	13	0	46	25	7	10000	0	100	0	0	0	0	0	0	40	
2008	13	2	29	0	380	217	0	150	0	1590	0	439000000	1	0	0	0	0	
2009	15	18	52	6	194	1	0	0	0	400	0	0	1	1	0	0	0	
2010	14	3	102	0	60	1146	0	120	0	725	0	0	2	0	0	0	0	
2011	18	11	78	0	0	0	0	0	0	638	0	0	1	0	0	0	0	
2012	8	3	19	0	0	100	0	0	0	0	0	0	0	0	0	0	0	
