Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
2005	1	0	0	0	0	0	0	0	0	0	2118173	1885000	0	0	0	0	0	
2006	1	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	12	
2008	2	0	0	0	0	88	0	0	0	0	42204.4	37054	0	0	0	0	0	
2009	1	0	0	0	0	9	0	0	0	0	3536	3105	0	0	0	0	0	
2010	11	0	0	0	0	866	0	0	0	553	8367828.23	7407547.07	2	0	2209.06	0	20805	
2011	1	0	0	0	0	0	0	0	0	0	6707.5	5889	0	0	4.75	0	0	
2012	1	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	
2014	5	0	0	0	0	11	0	0	0	0	66997.52	59022.26	0	0	0	0	0	
2015	1	0	0	0	0	67	0	0	0	0	276994	271573.54	0	0	0	0	0	
2016	5	0	0	0	0	39	0	0	0	0	1938119.93	1715150.86	0	0	10	0	10000	
2017	2	0	0	0	0	0	0	0	0	0	14409.92	12687	0	0	0	0	0	
2018	6	0	0	0	0	103	0	0	0	0	158277	180979	0	0	0	0	0	
2019	5	0	0	0	0	0	0	0	0	0	342098.26	310463	0	0	0	0	81000	
2020	9	0	0	0	0	0	0	0	0	0	130702.96	117679.55	0	0	2	35	0	
2021	18	0	0	0	0	0	0	0	0	0	241975.58	222816.9	0	0	98.69	6	0	
2022	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
