Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1999	2	0	0	0	302	0	3436	0	0	0	0	33800000	0	0	0	0	0	
2005	6	0	0	0	222	0	948	0	0	0	0	4640000	0	0	0	0	0	
2006	2	0	0	0	8	0	0	0	0	0	0	12620000	0	0	0	0	0	
2007	7	0	0	0	60	0	455	0	0	0	0	2167600	0	0	0	0	0	
2008	4	0	0	0	0	0	0	0	0	0	0	37615600	0	0	0	0	0	
2011	1	0	0	0	38	0	258	0	0	0	0	11380000	0	0	0	0	0	
2012	1	0	0	0	0	0	0	0	0	0	0	60000	0	0	0	0	0	
2013	20	2	0	0	134	8	538	0	0	0	0	61535000	0	0	0	0	0	
2014	6	0	0	0	7	0	27	0	0	0	0	1816000	0	0	0	0	0	
2015	17	2	0	0	30	0	0	0	0	0	0	198670000	0	0	0	0	0	
2016	2	0	0	0	0	0	0	0	0	0	0	30000000	0	0	0	0	0	
