Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1998	2	0	0	0	0	0	0	0	0	0	0	60000000	0	0	0	0	0	
2000	2	0	0	0	12	0	0	0	0	0	0	140000000	0	0	0	0	0	
2005	1	0	0	0	0	0	0	0	0	0	0	258000000	0	0	0	0	0	
2006	2	0	0	0	0	0	0	0	0	0	0	60000	0	0	0	0	0	
2007	1	0	0	0	0	0	0	0	0	0	0	100000000	0	0	0	0	0	
2008	3	0	0	0	0	0	0	0	0	0	0	1104000	0	0	0	0	0	
2011	1	0	0	0	0	0	0	0	0	0	0	6700000	0	0	0	0	0	
2014	1	0	1	0	0	0	0	0	0	0	0	20000000	0	0	0	0	0	
2015	14	0	0	0	54	0	150	0	0	0	0	889700000	0	0	0	0	0	
2016	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
