Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1971	3	7	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1972	2	4	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	
1973	3	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1974	2	0	19	42	0	0	0	0	0	0	0	0	0	0	0	0	0	
1975	4	14	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	
1976	2	2	0	7	0	0	0	57	0	0	0	0	0	0	0	0	0	
1977	1	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	
1978	3	4	9	1	0	0	0	9	0	0	0	0	0	0	0	0	0	
1979	2	10	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	
1980	1	20	0	66	0	0	0	0	0	41	0	0	0	0	0	0	0	
1981	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1983	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1984	2	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1987	1	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1988	3	11	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	
1989	2	25	10	0	0	0	0	60	0	24	0	0	0	0	0	0	0	
1991	2	6	0	26	0	0	0	44	0	0	0	0	0	0	0	0	0	
1992	1	0	0	2	0	0	0	13	0	0	0	0	0	0	0	0	0	
1993	8	7	7	9	0	0	0	38	0	0	0	0	0	0	0	0	0	
1994	5	4	24	20	0	0	0	0	0	0	0	0	0	0	0	0	0	
1995	2	0	3	6	0	0	0	0	0	0	0	0	0	0	0	0	0	
1996	6	9	8	7	0	0	0	0	0	0	0	0	0	0	0	0	0	
1999	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	
2000	4	6	0	2	0	0	0	0	0	0	0	320000	0	0	0	0	0	
2001	7	12	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	
2002	3	0	1	19	0	0	0	0	0	0	0	0	0	0	0	0	0	
2003	3	0	0	10	0	0	0	24	0	0	0	0	0	0	0	0	0	
2004	8	1	4	10	0	0	0	25	0	64	0	0	0	0	0	0	0	
2005	6	30	0	93	0	0	0	4	0	0	0	0	0	0	0	0	0	
2006	6	1	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	
2007	9	11	27	41	0	0	0	10	0	90	0	0	0	0	0	0	0	
2008	14	9	3	33	0	0	0	16	0	0	0	0	0	0	0	0	0	
2009	7	14	2	38	0	0	0	40	0	18	0	0	0	0	0	0	0	
2010	12	7	3	16	0	0	0	0	0	22	0	0	0	0	0	0	0	
2011	12	15	31	38	0	0	0	0	0	35	0	0	0	0	0	0	0	
2012	2	5	2	0	0	0	0	30	0	0	0	0	0	0	0	0	0	
2013	3	7	4	16	0	0	0	0	0	0	0	0	0	0	0	0	0	
