Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1971	6	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1972	5	3	1	0	0	30	0	0	0	0	0	0	0	0	0	0	0	
1973	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1975	3	21	0	0	0	0	0	0	0	0	0	30000	0	0	0	250	0	
1976	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1977	34	5	10	0	1	60	0	1460	0	0	0	150000	0	0	1500	20	0	
1978	19	2	0	0	2	0	0	0	0	0	0	90000	0	0	0	26	0	
1979	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	
1980	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1981	19	0	5	0	0	133	0	679	0	0	0	1800000	0	0	2032	12	0	
1982	11	1	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	
1983	6	3	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	
1984	7	0	0	0	0	0	0	0	0	0	0	1200000	0	0	0	0	0	
1985	14	1	0	0	0	0	0	0	0	0	0	7200000	0	0	0	28	0	
1986	8	0	2	0	9	0	0	0	0	0	0	0	0	0	0	15	0	
1987	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1988	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1989	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1050	0	0	
1990	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1991	10	1	0	0	0	32	0	0	0	0	0	0	0	0	0	6	0	
1993	83	1	37	0	160	376	0	576	0	0	0	3493000	0	0	5000	93	0	
1994	14	0	0	0	0	5	0	24326	0	0	0	0	0	0	0	0	0	
1995	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1997	55	0	0	0	0	0	0	150930	0	0	0	243070606	0	0	79258.3	0	0	
1998	13	0	0	0	0	0	0	220	0	0	0	30699000	0	0	2.03	22	0	
1999	4	0	0	0	0	0	0	0	0	0	0	5000000	0	0	0	0	0	
2000	20	0	0	0	0	0	0	648	0	0	0	9725000	0	0	23127	6	0	
2001	33	1	0	0	0	0	0	0	0	0	0	1047250000	0	0	1029	12	0	
2002	56	3	1	0	0	0	0	600	0	0	0	100000	0	0	50	0	0	
2003	22	6	2	0	0	0	0	0	0	0	0	42250000	0	0	0	26	0	
2004	45	1	26	0	0	810	0	0	0	0	0	38000000	12	0	2	0	0	
2005	24	1	1	0	0	100	0	614	0	0	0	1700000	0	0	0	0	0	
2006	16	2	0	0	0	0	0	0	0	0	0	49000000	0	0	4467.67	20	0	
2007	21	1	4	0	0	24	0	18000	0	0	0	5500000	0	0	0	0	0	
2008	31	1	0	0	35	0	0	185	0	0	0	123595000	4	1	8122	17	0	
2009	17	6	0	0	0	50	0	973	0	0	0	23200000	0	0	782	80	0	
2010	48	1	6	0	1	15	0	102	0	0	0	305400000	0	0	1431	248	0	
2011	32	0	0	0	0	0	0	11860	0	0	0	111000000	0	0	4969.36	0	0	
2012	26	0	0	0	0	1	0	1872	0	0	0	47700000	0	0	0.5	41	0	
2013	12	0	0	0	0	0	0	420	0	0	0	131250000	0	0	44	0	0	
