Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1971	15	68	2	0	24	107	0	0	0	0	0	0	0	0	0	1216	0	
1972	17	94	79	7	192	0	0	0	0	0	0	409500	0	0	200	112	0	
1973	21	23	20	9	22	3	0	234	114	0	0	0	0	0	0	0	500	
1974	16	24	1	0	86	29	0	128	0	0	0	743000	0	0	91	27	45	
1975	11	19	3	12	25	13	0	134	0	0	0	0	3	0	15.26	30	0	
1976	25	149	29	25	93	1	0	2147	0	0	0	7515000	0	0	157	36	2050	
1977	14	57	2	4	20	0	0	2000	0	1000	0	121000	0	0	1.27	41	0	
1978	18	39	11	0	28	8	0	50	0	0	0	575000	0	0	0	37	60	
1979	11	29	12	0	7	0	0	2340	0	0	0	261000	0	0	0	21	0	
1980	20	85	34	0	128	7	0	2342	0	0	0	0	0	0	27	642	0	
1981	16	62	9	0	115	46	0	795	0	26	0	0	0	0	364	246	0	
1982	22	206	11	11	37	0	0	871	309	517	0	6480000	0	0	20.16	131	0	
1983	23	106	17	13	91	112	0	336	26	0	0	1200000	0	0	338	81	38	
1984	32	89	21	0	36	92	0	1371	173	104	0	0	2	0	8.09	79	0	
1985	18	25	12	0	104	5	0	837	39	0	0	7172000	0	0	0	92	0	
1986	11	86	3	0	119	0	0	1411	67	0	0	4030000	1	0	42.4	150	0	
1987	13	30	5	0	292	0	0	1837	302	0	0	25020000	1	0	0	48	0	
1988	29	139	30	0	144	6	0	534	0	0	0	14520000	1	0	33	53	500	
1989	22	130	38	0	110	135	0	941	0	0	0	3894000	1	0	20	115	0	
1990	21	35	16	21	55	35	0	388	0	0	0	1400100	0	0	21	42	0	
1991	30	27	9	0	27	0	0	651	0	0	0	2193850	0	0	19.46	5	150	
1992	14	31	8	60	10	0	0	0	0	62	0	1050000	0	0	8	66	450	
1993	158	249	76	17	1820	1640	0	58680	0	0	0	7524000	2	1	4260.48	1216	10400	
1994	33	57	29	11	72	1	0	2689	85	0	0	514792	1	0	4.04	39	160000	
1995	64	190	49	24	1401	1438	0	62335	0	0	0	14981830	0	0	6938.33	358	0	
1996	74	215	77	23	4339	3085	0	201455	47	15	0	148212818	0	0	4167	1164	0	
1997	37	40	16	0	486	245	0	9577	361	0	0	20175249	0	0	204.85	59	50	
1998	89	197	59	8	2122	17	0	39185	26	179	0	81122315	2	0	204.95	426	495	
1999	89	131	80	7	1156	194	0	22285	90	0	0	94543150	4	0	57.69	243	0	
2000	107	118	57	2	250	335	0	9599	28	72	0	12745000	1	1	1680.5	98	2252	
2001	387	270	107	65	948	353	0	17025	37	0	0	122097700	3	0	2178.68	461	200	
2002	388	455	121	48	1702	355	0	21403	2695	63	0	102967400	1	0	487.236	797	1650	
2003	112	223	64	47	157	89	0	8343	0	759	0	21440500	3	0	108.9	484	1022	
2004	73	47	23	10	293	11	0	5470	120	0	0	121031000	1	0	50	107	139420	
2005	20	17	11	5	24	0	0	890	95	0	0	5200000	0	0	15	47	27200	
2006	42	104	9	80	231	181	0	391	1805	0	0	6874000	0	0	70.1	275	0	
2007	83	88	59	4	114	30	0	133	9	0	0	10300000	1	0	0	202	80	
2008	255	153	100	36	621	670	6	34547	4599	0	0	28771800	26	3	45.44	265	30375	
2009	118	114	47	27	346	4187	0	23235	5098	16	0	47022620	3	0	117.75	466	0	
2010	229	137	132	18	545	20266	0	21935	5414	2	0	54882600	23	1	342.26	569	0	
2011	221	136	137	6	168	263	0	17974	2761	193	0	66675800	31	0	167.889	110	29	
2012	109	58	38	5	162	107	0	14315	1084	1	0	59722500	13	1	42.95	81	275	
2013	101	106	51	18	175	60	0	6521	833	0	0	75960000	8	1	66.25	61	3100	
