Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1971	13	10	8	0	13	4	0	0	0	0	0	0	0	0	0	0	0	
1972	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1973	17	17	16	0	39	6	0	0	0	0	0	0	0	0	0	0	0	
1974	6	2	8	0	12	1	0	0	0	0	0	0	0	0	0	0	0	
1975	18	14	20	0	56	3	0	500	0	0	0	209000	1	0	0	0	0	
1976	4	4	4	0	4	0	0	0	0	0	0	41000	0	0	0	0	0	
1977	7	11	10	0	5	1	0	0	0	0	0	120000	0	0	0	0	0	
1978	13	21	20	0	5	4	0	0	0	0	0	30000	0	0	0	6	0	
1979	4	2	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1980	7	5	7	0	2	0	0	0	0	0	0	0	0	0	2543	0	0	
1981	3	11	1	0	17	1	0	0	0	0	0	0	0	0	0	0	0	
1982	1	0	0	6	1	0	0	0	0	0	0	0	0	0	0	0	0	
1983	1	5	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
1984	12	12	11	0	15	22	0	0	0	0	0	625000	0	0	0	0	0	
1985	7	47	0	0	46	0	0	288	0	0	0	100000	0	0	0	40	0	
1986	4	6	3	0	3	0	0	0	0	0	0	80000	0	0	0.25	0	0	
1987	1	0	0	0	1	0	0	0	0	0	0	100000	0	0	0	0	0	
1988	22	26	30	0	32	3	0	10	0	0	0	950000	0	0	0	2	0	
1989	16	2	9	0	292	1	0	0	0	0	0	0	0	0	0	3	0	
1990	11	6	9	0	9	1	0	3	0	0	0	200250	0	0	0	5	0	
1991	3	2	4	0	0	0	0	0	0	0	0	0	0	0	0	12	0	
1993	32	31	18	0	106	1	0	318	0	0	0	150000	0	0	820	14	0	
1994	12	12	10	0	7	0	0	0	0	0	0	205000	0	0	0	2	0	
1995	10	5	4	0	11	1	0	0	0	0	0	260000	0	0	0	0	0	
1996	8	8	2	0	13	0	0	0	18	0	0	120000	0	0	0	0	0	
1997	6	1	0	0	2	9	0	0	0	0	0	4150000	0	0	0	0	0	
1998	5	6	1	0	159	0	0	13	0	0	0	400000	0	0	0	0	0	
1999	9	9	22	0	140	45	0	0	0	0	0	5715000	0	0	0	12	0	
2000	12	9	10	1	3	401	0	0	0	0	0	35	0	0	56	8	0	
2001	8	5	9	0	23	0	0	86	0	0	0	584000	0	0	0	0	0	
2002	11	11	15	0	54	1	0	290	0	0	0	175000	0	0	0	0	0	
2003	13	11	81	0	10	0	0	0	0	0	0	112000	1	0	0	12	0	
2004	5	6	4	0	4	1	0	0	0	0	0	0	0	0	0	5	0	
2005	11	15	35	0	12	1	0	0	0	0	0	0	3	0	0	0	0	
2006	2	1	10	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
2007	9	6	1	0	4	100	0	0	0	0	0	600000	0	0	0	0	0	
2008	22	14	43	0	14	9	0	21	0	0	0	1050000	4	0	0	0	0	
2009	15	29	76	0	26	3	0	266	0	0	0	3800000	2	0	0	9	0	
2010	28	21	29	0	29	3	0	296	158	0	0	2669000	2	0	0	1	0	
2011	36	10	47	1	112	0	0	580	580	2	0	17615000	2	0	0	29	0	
2012	13	5	10	0	9	3	0	56	45	0	0	1400000	1	1	0	0	0	
2013	15	7	15	0	17	0	0	75	75	0	0	1892000	0	0	0	0	0	
