Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1993	2	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1995	2	2	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1998	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2000	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2001	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2004	2	0	4	0	0	2	0	10	0	0	3177.2	50000	0	0	0	0	0	
2006	1	1	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2008	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2009	1	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2012	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2013	3	3	10	0	0	0	0	35	0	0	0	0	0	0	0	0	0	
