Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1992	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1993	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1997	3	0	0	0	0	0	0	7500	0	0	14000	134400	0	0	0	0	0	
1998	1	4	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1999	1	0	0	0	0	0	0	20000	0	0	0	0	0	0	0	0	0	
2004	5	0	0	0	0	0	0	300	0	0	0	0	0	0	0	0	0	
2005	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2006	5	44	11	0	0	0	0	749	0	0	87.07	12.37	0	0	0	0	0	
2008	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2009	1	0	0	0	0	0	0	200	0	0	0	0	0	0	0	0	0	
2010	1	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	
2011	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2012	16	0	0	0	0	0	0	6586	121	2471	0	0	0	0	0	0	0	
2013	18	1	0	0	0	0	0	54938	0	0	0	0	0	0	0	0	1500	
