Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1970	5	3	11	0	1	0	0	0	0	0	0	0	0	0	0	1	0	
1971	3	1	5	0	0	0	0	42	0	0	0	100000	1	0	0	0	0	
1972	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1973	3	12	32	0	0	0	0	30	0	0	0	0	0	0	0	0	0	
1974	12	23	10	0	0	0	0	0	0	0	0	0	0	0	0	18	0	
1975	11	9	6	0	0	2	0	0	0	0	0	0	0	0	0	5	0	
1976	19	34	17	0	0	0	0	0	0	0	0	0	0	0	0	20	0	
1977	14	21	13	0	0	0	0	0	0	0	0	0	0	0	0	3	0	
1978	15	22	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1979	17	22	15	0	1	2	0	0	0	0	0	0	0	0	0	84	0	
1980	23	33	22	0	10	1	0	60	0	0	0	10000	0	0	0	4	0	
1981	18	20	57	0	41	0	0	54	0	0	0	0	0	0	0	10	0	
1982	23	33	22	0	10	0	0	0	0	0	0	60000	1	0	0	5	0	
1983	13	17	12	0	0	0	0	0	0	0	0	0	0	0	0	8	0	
1984	14	16	5	0	0	0	0	0	0	0	0	0	0	0	0	22	0	
1985	12	34	30	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
1986	13	16	7	0	0	0	0	0	0	0	0	0	0	0	0	2	0	
1987	6	12	14	0	8	0	0	0	0	0	0	10000	0	0	0	27	0	
1988	10	19	18	0	0	0	0	0	0	0	0	0	0	0	0	4	0	
1989	11	28	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1990	29	51	53	0	0	0	0	0	0	0	0	0	0	0	0	3	0	
1991	20	58	29	0	0	0	0	0	0	0	0	0	0	0	0	5	0	
1992	4	10	25	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
1993	10	7	19	0	3	0	0	0	0	0	0	0	0	0	0	13	0	
1994	23	35	46	0	1	0	0	0	0	0	0	0	0	0	0	33	0	
1995	21	34	38	0	5	0	0	0	0	0	0	0	0	0	0	25	0	
1996	28	44	32	0	0	0	0	13	0	0	0	50000	0	0	0	0	0	
1997	18	40	13	0	80	0	0	180	0	0	0	2000000	0	0	0	0	0	
1998	15	36	31	0	4	0	0	0	0	0	0	0	0	0	0	36	0	
1999	37	268	65	0	41001	7001	0	0	0	0	0	0	0	0	0	5	0	
2000	48	71	79	0	15	0	0	0	0	0	0	0	0	0	0	3	0	
2001	75	362	43	0	5	0	0	0	0	0	0	0	0	0	0	3	0	
2002	48	247	32	0	8	0	0	0	0	0	0	0	0	0	0	48	0	
2003	132	288	3	1	127	0	0	0	0	0	0	2614000	0	0	0	19	0	
2004	139	495	9	0	0	6	0	0	0	0	0	29000000	0	0	0	110	0	
2005	140	447	19	0	0	155	0	0	0	0	0	1449000	0	0	0	28	0	
2006	133	445	41	0	0	0	0	0	0	0	0	1160000	0	0	0	84	0	
2007	272	339	0	0	0	0	0	336	0	0	0	0	0	0	0	0	0	
2008	299	358	0	0	0	0	0	358	0	0	0	0	0	0	0	0	0	
2009	172	200	0	0	0	0	0	200	0	0	0	0	0	0	0	0	0	
2010	51	212	0	0	0	0	0	212	0	0	0	19900000	0	0	0	0	0	
2011	41	345	0	0	0	0	0	345	0	0	0	34500000	0	0	0	0	0	
2012	224	249	0	0	0	28	0	276	0	10	0	0	0	0	0	4	0	
2013	258	299	0	0	0	0	0	299	0	0	0	0	0	0	0	0	0	
2014	27	33	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	
