Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1970	49	10	11	0	8822	9	3	448046	0	0	0	4000000	0	0	0	0	0	
1971	47	7	7	2	5547	1647	0	551798	0	0	0	3944200	7	1	0	34	41	
1972	11	14	4	0	0	0	0	31494	0	0	0	2200000	0	0	0	1750	8	
1973	21	29	0	0	30000	0	0	1124153	0	0	0	0	0	0	0	2000	0	
1974	5	2	0	0	7317	0	0	632000	0	0	0	14140000	0	0	0	0	0	
1975	52	7	0	57	1664	573	0	972520	0	0	0	0	0	0	2195207	152	0	
1976	11	0	0	0	0	0	0	100	0	0	0	300000	0	0	19500	50	0	
1977	28	76	0	5	2038	1778	0	221624	0	0	0	2027234955	51	0	44465	8500	0	
1978	26	10	0	0	409	2471	0	1240670	0	100	0	3831935	0	0	187578	45	0	
1979	1	0	0	0	0	0	0	2000	0	0	0	0	0	0	0	0	0	
1980	17	86	0	0	1210	6351	0	979644	0	0	0	1.28	1	0	48750	40116	0	
1981	10	12	9	20	5	1689	0	100082	0	0	0	500000	0	0	24965	200	0	
1982	12	98	40	40	6087	72117	0	2280200	0	0	0	370000000	0	0	26384	10707	0	
1983	7	12	0	3	123	500	0	98738	0	0	0	112060000	15	0	10713	1002	0	
1984	15	24	0	0	500	92447	0	1915000	0	0	0	20000000	3	0	132655	10	0	
1985	85	76	15	30	10723	53659	0	1549559	0	0	0	53000000	45	0	336041	294	0	
1986	35	30	2	0	10595	1496	0	2237615	0	0	0	6450000	0	0	248852	7	0	
1987	2	6	0	0	200	0	0	5150	0	0	0	0	0	0	50	80	0	
1988	22	2	0	0	10425	0	0	277000	0	0	0	0	185	0	146370	210	0	
1989	39	11	2	0	9391	3880	302506	963024	0	0	0	43300000	0	0	133949	43	0	
1990	24	119	0	7	145	414521	0	696101	0	0	0	618000000	19	0	58633	0	0	
1991	29	77	0	0	6413	43956	0	4674100	0	0	0	20556000	0	0	241066	700	0	
1992	31	20	5	0	5219	8151	150	1609100	0	0	0	1287000	170	0	71932	24	401	
1993	1	0	0	0	0	0	0	50000	0	0	0	0	0	0	10000	0	0	
1994	18	49	12	0	0	575	0	1673800	0	0	0	119500000	1	0	125555	33600	0	
1995	14	19	6	12	9391	21615	0	1159600	0	0	0	2222000000	281	0	27717	25	0	
1996	16	0	0	0	50	0	653660	65000	0	0	0	2300000	0	0	22000	0	0	
1997	31	0	0	0	1800	5000	0	2559357	0	0	0	5268000	3	0	230391	500	0	
1998	6	1	0	0	79	3023	0	608000	0	0	0	0	0	0	0	2550	0	
1999	25	60	0	0	80	39	0	467195	0	0	0	300000000	40	0	27213	4	0	
2000	34	2	25	0	0	80	0	0	0	0	0	25200000	0	0	0	0	0	
2001	68	113	0	0	41925	26490	0	8803728	0	0	0	7288160000	0	0	607132	16141	0	
2002	32	0	0	0	0	0	0	1484	0	0	0	0	0	0	0	0	0	
2003	109	2016	0	0	20225	103191	592570	8746927	0	0	0	8632620200	0	0	84274	2786	0	
2004	43	12	0	0	248	1886	0	433136	0	0	0	109937400	0	0	4030	2	0	
2005	74	29	0	0	2152	20308	0	3221325	0	0	0	762773200	0	0	48896	14	0	
2006	84	103	0	0	17514	87558	87796	7189743	0	0	0	3588667140	0	0	79035	324	0	
2007	77	153	0	0	107361	103403	0	12997635	0	178962	0	1982605000	389	20	323128.12	24770	23899.057	
2008	28	118	0	0	0	295715	0	6025505	0	553755	0	438.06	0	0	582342.377	1908785	0	
2009	19	52	0	0	0	9763	0	3691578	0	27346	0	0	0	0	2399.04	0	0	
2010	8	18	0	0	3917	1507	0	90527	0	19028	0	0	0	0	3670.37	36384	1531.537	
2011	25	54	0	0	56807	167096	0	4726185	0	494542	0	500000	63	59	436221.234	920423	10498.374	
2012	7	4	0	0	12742	2972	0	101351	0	14301	2523726	171735993447	100	92	3230.652	7631	2345.005	
2013	13	14	0	0	0	409847	0	8130446	0	267766	311590623	20144105507	310	6	198397	80	8308	
