Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1970	7	1	18	0	10	4812	0	10000	0	0	0	512000	35	0	0	7	0	
1971	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
1973	3	2	1	0	1000	0	0	0	0	0	0	35000000	0	0	0	0	0	
1974	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1975	3	0	2	0	0	0	0	0	0	0	0	0	0	0	2000	150	0	
1976	7	0	19	0	45	0	0	0	0	0	0	0	0	0	241	41	0	
1977	11	1	2	0	3	0	0	0	0	0	0	3005000	1	0	370	10	0	
1978	8	6	71	0	0	1007	0	32000	0	0	0	0	37	0	0	2	0	
1979	2	0	0	0	0	0	0	0	0	0	0	632000	0	0	17	15	0	
1980	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1981	11	3	234	0	0	0	0	0	0	0	0	23000	52	1	2350	170	0	
1982	5	8	5	0	0	0	0	0	0	0	0	0	0	0	0	24	0	
1983	7	8	52	0	103	2689	0	0	0	0	0	5	27	1	27248	789	0	
1984	2	0	105	0	0	900	0	0	0	0	0	0	8	0	195	0	0	
1986	2	1	5	0	0	0	0	0	0	0	0	0	2	0	0	7	0	
1987	2	0	0	0	0	0	0	0	0	0	0	1100000	0	0	0	0	0	
1988	4	5	0	0	0	0	0	0	0	0	0	800000	0	0	5000	20	0	
1989	5	6	51	0	0	100	0	180	0	0	0	200000	0	0	0	0	0	
1990	9	0	299	0	0	12	0	0	0	0	0	0	4	0	2231	78	0	
1991	5	6	7	0	0	0	0	0	0	0	0	30000000	0	0	400	0	0	
1992	6	0	50	0	0	0	0	15784	0	0	0	22714000	0	0	0	12	0	
1993	7	3	16	0	0	50	0	0	0	0	0	0	2	0	0	6	0	
1994	2	0	1	0	0	5	0	0	0	0	0	225000	11	0	1125	0	0	
1997	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1998	3	1	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2000	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2001	1	0	2	0	0	0	0	0	0	0	0	300000	0	0	0	0	0	
2002	2	0	2005	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	
2007	15	6	0	0	2331	899	0	1714	5	0	0	0	0	0	4352	2	0	
2008	3	5	0	0	0	833	0	9226	0	0	0	19	0	0	3580.36	0	0	
2009	5	21	143	0	0	1530	0	11326	0	0	0	14425848	0	0	134.66	512	0	
2010	8	14	0	0	0	2254	0	22948	0	1163	0	4653500	0	0	0	0	0	
2011	10	5	0	0	474	380	0	4427	0	4427	0	2487500	0	0	0	0	0	
2012	15	0	0	0	0	1977	0	15998	0	4599	0	17592980	0	0	86494.51	0	0	
