Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1937	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1949	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1973	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1985	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1986	20	2	0	0	0	0	0	0	0	140	0	0	0	0	0	0	0	
1987	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1988	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1989	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1990	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1991	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1992	15	3	0	0	26	4	151	32	0	0	20020	20	0	0	0	0	0	
1993	14	0	0	0	2	7	10	28	0	0	0	0	0	0	0	0	0	
1994	7	9	22	0	6	38	155	35	0	200	0	0	0	0	0	0	0	
1995	22	3	1	0	8	13	17	82	0	7	0	0	0	0	0	0	80	
1996	17	1	5	0	5	19	66	52	0	0	0	33000	0	0	0	0	0	
1997	13	0	6	0	0	10	0	96	0	0	1500	13500	0	0	0	0	0	
1998	49	2	3	0	8	69	43	355	0	0	135500	3000	0	0	0	0	50	
1999	21	9	6	0	2	15	7	68	0	0	0	0	0	0	0	0	50	
2000	22	0	0	0	1	7	7	35	0	8	0	0	0	0	20	0	70	
2001	48	0	0	0	3	82	17	518	4	38	8000	8000	0	0	0	0	97	
2002	8	0	7	0	0	30	0	305	0	0	0	0	1	0	0	0	0	
2003	13	3	0	0	0	24	0	117	0	0	0	0	0	0	0	0	0	
2004	18	10	1	0	2	12	3	54	0	0	0	0	0	0	0	0	45	
2005	14	0	0	0	3	29	16	163	0	0	0	0	0	0	0	0	0	
2006	21	3	0	0	4	32	20	162	0	0	0	0	0	0	0	0	0	
2007	30	0	0	0	0	25	0	125	0	18	0	0	0	0	0	0	200	
2008	25	3	1	0	6	284	2	560	0	0	0	0	0	0	0	0	0	
2009	6	1	0	0	0	3	0	65	0	0	0	0	0	0	0	0	1	
2010	14	16	0	0	2	82	19	415	0	14	0	0	0	0	0	0	0	
2011	4	1	2	0	0	36	0	37	0	0	0	0	0	0	0	0	0	
2012	5	0	0	0	0	3	1	10	0	0	0	0	0	0	0	0	1	
2013	6	0	0	0	3	8	6	35	2	4	0	0	0	0	0	0	0	
2014	30	6	0	0	1	48	0	179	0	0	0	0	0	0	0	0	1060	
2015	46	0	0	0	0	56	0	271	0	0	0	0	0	0	0	0	0	
2016	35	4	14	0	4	47	0	185	0	0	0	0	0	0	0	0	120	
2017	5	0	0	0	0	2	0	8	0	0	0	0	0	0	0	0	0	
2018	54	0	4	0	0	50	0	222	0	0	0	6000	0	0	0	0	5	
2019	23	0	1	0	1	22	2	27	0	0	0	0	0	0	0	0	128	
