Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1970	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1971	19	0	0	0	0	0	0	0	0	0	775	30000	0	0	0	45	0	
1972	7	0	0	0	0	0	0	0	0	0	0	500000	0	0	0	0	0	
1973	35	2	15	0	0	20	0	0	0	0	0	0	0	0	0	11	0	
1974	13	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	
1976	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1977	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1978	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1980	7	0	0	0	0	0	0	0	0	0	0	0	0	0	2000	0	0	
1981	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1982	21	0	0	0	0	0	0	112	0	0	0	0	0	0	0	0	0	
1983	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1984	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	
1985	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1986	10	8	0	0	0	0	0	0	0	0	0	2000000	0	0	400	0	0	
1987	24	2	0	0	0	1	0	0	0	0	0	0	0	0	4400	0	0	
1988	21	0	0	0	0	0	150	300	0	0	1636364	54000000	0	0	500	2107	150	
1989	13	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1991	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1992	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1994	7	0	0	0	10	40	500	0	0	0	15000	0	0	0	3100	0	0	
1995	10	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1996	15	0	0	0	0	0	0	10000	0	0	0	0	0	0	1600	0	0	
1997	8	3	0	0	0	0	0	13000	0	0	0	0	0	0	0	0	0	
1998	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2000	17	0	0	0	0	70	0	2150	0	0	0	700000	1	0	50	139	80000	
2001	20	0	0	0	518	3580	8962	64610	0	0	0	0	0	0	5600	0	0	
2002	2	0	0	0	5	0	25	0	0	0	0	0	0	0	0	0	0	
2003	3	0	0	0	5	70	0	0	0	70	500000	0	0	0	0	0	120	
2004	4	1	0	0	8	0	0	614	0	0	0	0	0	0	100	0	0	
2006	2	6	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2007	3	0	2	0	50	0	250	0	0	0	0	0	0	0	0	1	0	
2008	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2009	5	0	0	0	0	0	0	0	0	0	0	0	0	0	600	0	0	
