Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1970	82	6	0	0	0	0	0	14500	0	0	2067	80000	0	0	0	0	0	
1971	22	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1972	33	29	0	0	0	0	0	0	0	0	0	250000	0	0	0	0	0	
1973	45	12	12	0	0	0	10	7000	0	0	0	0	0	0	0	0	0	
1974	24	18	0	0	0	0	0	5003	0	0	0	0	0	0	0	0	0	
1975	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1976	30	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1977	11	0	0	0	0	0	0	4474	0	0	0	0	2	0	0	0	0	
1978	11	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1979	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1980	63	5	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	
1981	76	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
1982	87	0	0	0	0	0	0	50000	0	0	0	0	2	0	1000	0	200	
1983	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1984	35	7	7	0	0	10	0	200000	0	0	0	0	0	0	0	0	0	
1985	52	0	0	0	0	0	0	1000	0	0	14367	100000000	0	0	0	0	0	
1986	62	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1987	125	12	0	0	0	0	0	49	0	0	0	0	0	1	0	0	0	
1988	51	0	0	0	0	0	0	210	0	0	0	0	0	0	0	0	0	
1989	24	0	0	0	0	0	0	3000	0	0	0	0	0	0	0	0	0	
1991	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1992	11	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	0	0	
1993	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1994	27	0	0	0	0	0	60	15000	0	0	0	0	0	0	0	0	0	
1995	60	0	0	0	0	0	0	27500	0	0	0	0	0	0	0	0	0	
1996	51	28	0	0	0	0	800	80302	0	30	0	0	0	0	1650	600	0	
1997	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1998	77	0	0	0	0	0	0	9450	0	0	0	0	0	0	155	0	0	
1999	22	24	0	0	0	0	0	0	0	0	0	7000000	0	0	0	3	0	
2000	77	0	0	0	0	0	0	10246	0	0	0	0	0	0	0	0	0	
2001	42	3	0	0	0	200	0	1800	0	0	0	0	0	0	50	0	0	
2002	29	5	3	0	0	0	0	89	0	0	0	200000	0	0	0	0	20	
2003	13	0	0	0	0	0	0	200	0	0	0	0	0	0	0	0	0	
2004	18	0	0	0	0	0	0	10000	0	0	0	0	0	0	0	0	0	
2005	3	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2006	4	0	1	0	0	0	0	27	0	0	0	90000	0	0	0	0	0	
2007	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5000	
2008	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2009	11	0	11	0	0	0	0	0	0	0	0	0	0	0	5.791	0	0	
2010	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2011	12	0	2	0	0	0	0	300	0	0	0	0	0	0	0	0	0	
2012	5	0	0	0	0	0	0	9	0	0	0	0	0	0	0.02	0	0	
2013	12	0	0	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	
