Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1996	1	0	0	0	0	0	0	0	0	0	0	18500	0	0	0	0	0	
1997	2	0	0	0	0	0	0	0	0	0	0	46650	0	0	0	0	0	
1998	2	0	0	0	0	0	0	0	0	0	0	501502	0	0	0	0	0	
1999	1	0	0	0	0	0	0	0	0	0	0	3825	0	0	0	0	0	
2003	2	0	0	0	0	102	0	0	0	0	0	3186	1	0	0	0	0	
2007	1	0	0	0	0	1009	0	0	0	0	0	0	0	0	0	0	0	
2009	4	0	5	0	30	68	0	40	25	30	0	21277	3	0	500	30	2000	
2010	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2011	11	0	12	0	0	126	0	99263	0	0	0	1037343	1	0	13595	0	7000	
2012	3	0	0	0	0	0	0	50	0	0	0	9599	0	0	0	0	0	
2013	2	0	0	0	0	0	0	2600	0	0	0	0	0	0	0	0	0	
2014	1	0	0	0	0	45	0	0	16	96	0	26335000	0	0	0	380	0	
2018	1	0	0	0	0	0	0	0	0	0	0	50378677	0	0	0	0	25700	
2022	4	0	2	0	0	0	0	0	0	0	0	210286000	0	0	578	0	0	
