Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1799	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1886	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1889	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1892	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1893	5	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	
1928	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1930	1	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	
1979	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1988	11	30	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	
1991	3	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	
1997	32	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	
2000	28	0	0	0	0	43	0	0	0	12	0	0	0	0	0	0	0	
2001	462	0	0	0	0	701	0	0	0	653	0	0	0	0	2	0	0	
2002	18	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	
2003	7	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
2005	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2006	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2007	11	0	0	0	0	500	0	0	0	418	0	0	0	0	0	0	0	
2008	40	1	3	0	0	12	0	0	0	43	0	0	0	0	0	0	0	
2010	218	0	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	
