Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1959	12	4	0	0	0	200	0	0	0	520	0	0	0	0	1189	0	0	
1981	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	
1983	5	0	0	0	0	26	0	0	0	0	0	0	0	0	48	0	0	
1984	5	0	0	0	0	77	0	0	0	0	0	0	0	0	256	0	0	
1987	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1988	40	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1989	2	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	
1990	12	2	0	0	0	90	0	0	0	100	0	0	0	0	0	0	0	
1991	13	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	0	0	
1992	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1994	4	0	0	0	0	20	0	0	0	0	0	0	0	0	5290	0	0	
1995	4	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	
1996	34	0	0	0	0	141	0	0	0	12	0	0	0	0	29	0	0	
1997	184	0	0	0	0	133	0	0	0	46	0	0	0	0	379	2	0	
1998	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1999	74	4	3	0	0	630	0	0	0	44	0	0	0	0	9061	0	0	
2000	18	0	2	0	0	141	0	0	0	15	0	0	0	0	0	0	0	
2001	131	3	12	0	0	461	0	0	0	52	0	0	0	0	475	68	0	
2002	56	0	2	0	0	119	0	0	0	2086	0	0	0	0	0	0	0	
2003	109	2	0	0	0	4048	0	0	0	66	0	0	0	0	0	0	0	
2004	167	0	0	0	0	322	0	0	0	2145	0	0	0	0	15345	0	0	
2005	9	0	0	0	0	5	0	0	0	40	0	0	0	0	0	901	0	
2006	41	1	0	0	0	76	0	0	0	11	0	0	0	0	0	0	0	
2007	211	7	14	0	0	1715	0	0	0	897	0	0	0	0	0	4	0	
2008	100	1	3	0	0	242	0	0	0	184	0	0	0	0	0	0	0	
2009	151	4	2	0	0	314	0	0	0	177	0	0	0	0	400	0	0	
2010	29	0	2	0	0	124	0	0	0	179	0	0	0	0	0	0	0	
