Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
2000	4	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	
2001	2	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	
2002	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	
2003	5	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	
2005	7	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0	0	
2006	5	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	
2007	4	0	0	0	1	0	0	18	0	0	0	0	0	0	0	0	0	
2008	14	1	0	0	0	1	0	59	0	0	0	0	0	0	0	0	0	
2009	11	0	2	0	0	1	0	62	0	0	0	0	0	0	0	0	0	
2010	67	0	3	0	1	57	0	435	0	0	0	0	0	0	0	0	0	
2011	17	1	7	0	14	57	0	350	0	0	0	0	0	0	0	0	0	
2012	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2013	14	4	7	0	1	19	0	91	0	0	0	0	0	0	0	0	0	
2014	17	3	4	0	5	23	0	556	0	0	0	0	0	0	0	0	0	
2015	38	2	6	0	33	57	0	659	0	0	0	0	0	0	0	0	0	
2016	44	9	5	0	30	591	0	14041	0	0	0	0	0	0	0	0	0	
2017	42	6	2	1	24	254	0	7748	0	0	0	0	0	0	0	0	0	
2018	128	1	12	0	28	709	0	4618	0	0	0	0	0	0	0	0	0	
2019	101	1	8	0	23	258	0	1723	0	0	0	0	0	0	0	0	0	
2020	2	0	0	0	1	1	0	11	0	0	0	0	0	0	0	0	0	
