Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1965	1	0	0	0	1	5	0	30	0	0	0	0	0	0	0	0	0	
1999	6	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0	0	
2000	12	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	
2001	2	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	
2002	4	0	0	0	0	7	0	40	0	0	0	0	0	0	0	0	0	
2003	4	1	0	0	0	232	0	1160	0	0	0	0	0	0	0	0	0	
2004	31	0	0	0	0	7	0	283	0	0	0	0	0	0	0	0	0	
2005	40	4	0	0	0	8	0	276	0	0	0	0	0	0	0	0	0	
2006	119	0	0	0	7	146	0	817	0	2	0	0	0	0	0	0	0	
2007	96	3	12	0	18	309	0	1580	0	17	0	0	0	0	0	0	0	
2008	92	0	0	0	9	103	0	1217	0	15	0	0	0	0	0	0	0	
2009	126	0	6	1	86	940	0	5695	0	2	0	0	0	0	0	0	0	
2010	17	0	3	0	17	106	0	589	0	0	0	0	0	0	0	0	0	
