Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1976	2	5	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	
1977	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1978	1	5	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	
1993	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1995	3	5	1	0	0	4	0	12	0	0	0	0	0	0	0	0	0	
1996	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1997	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1998	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1999	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
2000	11	12	0	0	0	0	0	0	0	0	0	15000	0	0	0	1	0	
2001	1	2	0	0	0	0	0	2	0	0	0	30000	0	0	0	0	0	
2002	2	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2003	3	12	23	0	0	0	0	12	0	0	0	0	0	0	0	0	0	
2004	60	72	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2005	240	284	69	0	0	0	0	1	0	0	0	10000	0	0	0	2	0	
2006	103	124	9	0	0	0	0	6	0	0	0	8000	0	0	0	4	0	
2007	115	158	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2008	89	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2009	73	94	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
2010	116	303	857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2011	179	415	1004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
