Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1966	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1967	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	
1968	4	0	0	0	0	0	0	0	0	0	7500	15000	0	0	0	0	0	
1969	2	0	0	0	0	0	300	300	0	0	0	0	0	0	0	0	0	
1970	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1971	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1972	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1973	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1975	8	0	0	0	3	1	35	35	0	0	22240	55600	0	0	0	0	0	
1976	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1977	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1978	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1979	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1980	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1996	3	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	
1997	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1998	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25000	0	
1999	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2000	2	0	11	0	2	0	0	0	0	0	0	0	0	0	0	0	0	
