Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1966	3	0	2	0	0	15	2	2	0	0	1750	3500	0	0	0	0	0	
1968	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	
1969	1	0	0	0	0	0	8	8	0	0	0	0	0	0	0	0	0	
1974	3	2	0	0	0	0	2	0	0	0	2717391	5000000	0	0	0	0	0	
1975	6	1	0	0	0	8	6	7	0	0	160	400	0	0	0	0	0	
1976	5	0	0	0	2	11	54	0	0	0	1232000	3080000	0	0	0	0	0	
1977	1	1	0	0	0	0	0	14000	0	0	400000	1000000	0	0	0	0	0	
1978	1	0	0	0	0	0	0	0	0	0	200000	500000	0	0	0	0	0	
1979	2	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	
1980	2	0	0	0	1	17	0	0	0	0	0	0	0	0	0	0	0	
1981	4	0	0	0	0	0	0	60	0	0	85	0	0	0	0	0	0	
1987	3	0	0	0	0	0	0	0	0	0	333	0	0	0	0	0	0	
1990	2	0	0	0	0	0	0	0	0	0	840	0	0	0	0	0	0	
1991	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1992	2	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	
1993	1	0	0	0	0	0	0	100	0	0	600000	4	0	0	14000	0	0	
1996	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1997	5	0	0	0	0	26	0	0	0	0	19857	125000	0	0	0	0	0	
1998	3	0	0	0	0	0	0	8	0	0	4763	30000	0	0	0	0	0	
1999	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2000	2	0	0	0	15	26	0	0	0	0	0	0	0	0	0	0	0	
