Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
2001	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2002	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2003	8	0	0	0	0	0	0	4780	0	0	0	0	0	0	0	0	0	
2004	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2005	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2006	32	2	0	0	0	0	0	1742	0	0	0	0	0	0	0	0	0	
2007	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2008	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2009	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2010	28	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	
