Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1980	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1984	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1986	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1987	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1988	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1993	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1997	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1999	1	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2000	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2002	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2003	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2005	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2014	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
