Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1990	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1991	1	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1994	2	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1995	11	886	5554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1996	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1997	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1998	2	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1999	5	1582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2000	47	3353	9844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2001	58	1674	10522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2002	68	1833	10681	0	0	0	0	40	0	0	0	0	0	0	0	0	0	
2003	12	164	253	0	0	0	0	92	0	0	0	0	0	0	0	0	0	
2005	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2009	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2010	5	17	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2011	4	37	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2013	22	38	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2016	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
