Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1872	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
1952	1	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1977	1	0	0	0	216	0	0	0	0	0	0	0	0	0	0	0	0	
1994	1	0	0	0	0	0	0	0	0	0	0	1267000	0	0	0	0	0	
1995	1	0	0	0	0	0	0	0	0	0	0	90000	0	0	0	0	0	
1998	1	0	0	0	0	0	0	0	0	0	0	2000000	0	0	0	0	0	
2003	1	2	0	0	0	13	0	0	0	0	0	20000000	0	0	0	137	0	
2006	1	0	0	0	0	0	0	230	0	0	0	97722000	0	0	0	0	0	
2010	1	0	7	0	0	50	0	235	0	0	1498.5	164912955	0	0	0	0	0	
2020	1	0	0	0	0	1	5	5	0	5	0	0	0	0	0	0	0	
