Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1977	1	500	0	0	0	0	6000	6000	0	0	0	0	0	0	0	0	0	
1978	1	51	0	0	0	0	462	411	0	0	0	0	0	0	0	0	0	
1983	3	183	0	0	0	0	0	459	0	0	0	0	0	0	0	0	0	
1985	1	10	0	0	0	0	0	118	0	0	0	0	0	0	0	0	0	
1987	1	90	0	0	0	0	0	500	0	0	0	0	0	0	0	0	0	
1991	1	54	10	0	0	0	0	210513	0	0	0	0	0	0	0	0	0	
1997	1	23	0	0	0	0	0	136	0	0	0	0	0	0	0	0	0	
2002	16	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	
2003	18	0	0	0	0	0	0	99	0	0	0	0	0	0	0	0	0	
2004	5	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	
2005	8	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	
2006	28	2	0	0	0	0	0	316	0	0	0	0	0	0	0	0	0	
2015	1	2	87	0	0	0	87	87	87	0	0	0	0	0	0	0	0	
2017	1	1	78	0	0	36	78	180	0	0	0	0	0	0	0	0	0	
2018	23	85	0	0	0	0	4647	4647	0	0	0	0	0	0	0	0	0	
2019	1	2	7	0	0	0	9	0	0	0	0	0	0	0	0	0	0	
