Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1990	4	22	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1991	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1992	1	4	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1993	4	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1994	4	20	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1995	3	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1996	1	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1997	1	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1998	4	15	33	0	0	0	0	0	0	0	0	0	0	0	0	0	400	
1999	3	24	29	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
