Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1984	5	4	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1985	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1986	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1987	9	0	1	0	0	55	0	0	0	0	0	0	0	0	0	15	0	
1988	4	0	2	0	135	1	0	0	0	0	0	0	0	0	0	1	0	
1989	7	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1990	12	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1991	11	1	13	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
1992	10	2	3	0	0	0	0	0	0	0	0	0	0	0	0	8	0	
1993	10	5	0	0	3	0	0	0	0	0	0	0	0	0	0	19	0	
1994	17	8	2	0	0	11	0	0	0	0	0	0	0	0	0	3	0	
1995	23	7	9	0	0	10	0	0	0	0	0	0	0	0	0	0	0	
1996	21	6	10	0	0	20	0	0	0	0	0	0	0	0	0	4	0	
1997	7	1	1	0	0	0	0	0	0	0	0	0	0	0	0	5	0	
1998	4	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1999	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	
2000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2001	6	7	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
2002	2	0	6	0	0	2	0	0	0	0	0	0	0	0	0	0	0	
2003	7	3	24	0	1	0	0	0	0	0	0	0	0	0	0	2	0	
2004	4	2	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	
2005	14	0	4	0	5	21	110	0	0	0	0	0	0	0	0	2	0	
2006	10	7	3	0	0	8	0	0	0	0	0	0	0	0	0	1	0	
2007	19	5	6	0	38	0	0	0	0	0	0	0	0	0	0	115	0	
