Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1986	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1987	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
1992	4	3	4	0	4	2	0	0	0	0	0	0	0	0	0	0	0	
1993	4	0	0	15	101	18	0	0	0	0	0	0	0	0	0	0	0	
1994	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1995	5	2	0	0	0	4	0	0	0	0	0	0	0	0	0	4	0	
1996	2	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	
1997	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
1998	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
2002	3	0	9	0	0	13	0	0	0	0	0	0	0	0	0	0	0	
2004	5	5	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
2006	1	0	0	0	8	2	0	0	0	0	0	0	0	0	0	0	0	
2007	6	6	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	
2008	1	1	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
