Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1971	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1972	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	
1973	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1974	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1977	4	4	0	0	4	23	0	0	0	0	0	0	0	0	0	0	0	
1978	1	0	0	0	0	30	0	0	0	0	0	300000	0	0	0	0	0	
1979	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1981	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1982	2	152	0	0	0	0	200	0	0	40000	0	200000000	0	0	0	0	0	
1983	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1984	9	2	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	
1985	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1986	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	
1987	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1988	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1989	5	5	0	0	0	30	0	225	0	0	0	0	0	0	0	0	0	
1990	3	2	0	0	0	0	0	0	0	60	0	310000000	0	1	0	0	0	
1991	2	9	0	0	0	0	0	0	0	0	0	2000000	1	0	0	0	0	
1992	3	2	0	0	0	0	0	2500	0	0	0	70000000	0	0	0	0	0	
1995	3	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
1998	3	1	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	
1999	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2000	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2001	2	7	0	2	0	0	0	0	0	200	0	0	0	0	0	0	0	
2002	2	2	0	0	1	8	0	0	0	40	0	25000000	0	0	0	0	0	
2003	7	0	0	0	0	2	0	0	0	39	8000000	700000000	0	0	0	0	0	
2004	4	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	
2005	7	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2006	6	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2007	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2008	2	2	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2009	7	2	11	0	3	35	0	0	0	0	0	0	0	0	0	0	0	
2010	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2012	4	2	24	0	0	3	0	0	0	0	0	0	0	0	0	0	0	
2013	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2014	12	4	19	0	2	4	3	9	0	0	0	0	0	0	0	0	0	
2015	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
