Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1970	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	
1971	3	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
1972	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	
1973	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1974	2	48	0	0	0	100	0	0	0	0	0	1000000	0	0	0	0	0	
1975	1	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	
1978	4	0	0	0	0	20	50	0	0	0	0	0	1	1	0	0	0	
1979	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1980	4	0	0	0	0	0	158	0	0	0	0	0	0	0	0	0	0	
1981	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1982	2	0	0	0	500	0	0	0	0	0	0	0	0	0	0	0	0	
1984	1	0	0	0	6	134	0	0	0	0	0	0	0	0	0	0	0	
1985	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1989	1	0	0	0	0	0	0	0	0	0	0	20000000	0	0	0	0	0	
1990	4	1	0	0	4	100	225	0	0	0	0	0	0	0	0	0	0	
1991	2	1	0	0	0	0	0	0	0	0	0	6000000	0	0	0	0	0	
2001	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2002	3	0	0	0	27	0	25	0	0	0	0	0	0	0	0	0	0	
2003	3	0	0	0	0	18	125	0	0	0	0	0	0	0	0	0	0	
2004	8	4	0	29	19	60	0	270	0	0	0	0	0	0	0	0	0	
2005	3	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	
2006	2	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	
2007	2	1	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	
2009	2	0	1	0	0	7	0	0	0	0	0	0	0	0	0	0	0	
2010	2	0	0	0	0	7	0	18	0	0	0	0	0	0	0	0	0	
2011	8	0	0	0	1	113	5	50	0	37	0	0	0	0	0	0	0	
2012	2	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	
2014	1	0	0	0	0	66	0	330	0	0	0	0	0	0	0	0	0	
2015	1	0	0	0	33	18	132	72	0	0	0	0	0	0	0	0	0	
