Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1800	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1972	2	0	0	0	0	0	0	0	0	0	0	800000	0	0	0	0	0	
1974	1	0	0	0	0	0	0	0	0	0	0	50000	0	0	0	0	0	
1975	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1979	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1982	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1991	3	1	0	0	0	0	0	0	0	0	0	25000000	0	0	0	0	0	
1997	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1999	6	1	0	0	0	540	70	10482	0	0	120	0	0	0	0	0	0	
2000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2004	5	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	
2006	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2007	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2010	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
