Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
2000	2	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	
2001	5	0	0	0	14	1128	14	4520	0	0	0	0	0	0	0	0	0	
2004	5	0	0	0	0	0	0	36738	0	0	0	0	0	0	0	0	0	
2006	5	1	8	0	369	444	6400	6748	0	0	0	0	0	0	48.3	0	0	
2007	6	0	0	0	0	0	0	7000	0	0	0	0	0	0	0	0	0	
2008	13	0	0	0	15	55	21000	21040	0	0	0	0	1	0	0	0	0	
2009	29	4	0	0	150	1	0	7456	0	0	0	1000	6	2	144	0	500	
2010	42	0	0	0	122	4	0	115	117	2	0	0	0	0	0	0	0	
2011	56	0	0	0	0	0	0	0	0	0	0	466366	1	0	0	0	0	
2012	51	0	0	0	0	261	4160	4907	0	0	0	0	1	0	0	0	0	
2013	91	2	0	0	335	358	18928	18897	9	0	0	71880.06	58	0	236.1	0	2501	
2014	46	0	0	0	319	370	166	2706	229	0	0	0	10	0	49.5	0	0	
2015	31	4	0	0	66	171	117	838	0	0	9308159.35	0	7	0	0	0	0	
2016	9	0	0	0	7	97	210	210	179	0	0	0	7	0	0	0	0	
2017	42	9	0	0	35	656	4413	6913	988	0	0	6516280	6	0	319	0	0	
