
<META HTTP-EQUIV="Pragma" CONTENT="no-cache">
<META HTTP-EQUIV="cache-control" CONTENT="no-cache">
<META HTTP-EQUIV="Expires" CONTENT="01-01-1999">
Year	 DataCards	 Deaths	 Injured	 Missing	 Houses Destroyed	 Houses Damaged	 Directly affected	 Indirectly Affected	 Relocated	 Evacuated	 Losses $USD	 Losses $Local	 Education centers	 Hospitals	 Damages in crops Ha.	 Lost Cattle	 Damages in roads Mts	
1970	4	26	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	
1971	12	55	5	0	0	0	0	0	0	0	0	20000	0	0	0	0	0	
1972	6	61	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	
1973	9	70	25	19	0	0	35	0	0	0	0	0	0	0	0	0	0	
1974	3	44	22	36	0	0	0	0	0	0	0	0	0	0	0	0	0	
1975	4	26	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	
1977	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	
1978	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1979	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1980	8	30	1	15	0	0	0	0	0	0	0	0	0	0	0	0	0	
1981	6	22	40	3	0	0	0	0	0	0	0	0	0	0	0	0	0	
1982	10	36	33	25	0	0	0	0	0	0	0	0	0	0	0	0	0	
1983	6	17	9	9	0	0	0	0	0	0	0	0	0	0	0	0	0	
1984	6	17	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1986	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1987	3	64	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	
1988	3	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1989	3	34	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1990	9	13	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	
1991	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1992	10	56	50	68	0	0	0	0	0	0	0	0	0	0	0	0	0	
1993	6	12	24	7	0	0	5	0	0	0	0	0	0	0	0	0	0	
1994	14	28	5	27	0	0	0	0	0	0	0	0	0	0	0	0	0	
1995	5	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1997	3	36	5	12	0	0	0	0	0	0	0	0	0	0	0	0	0	
1998	4	53	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	
1999	6	15	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	
2000	5	10	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	
2002	5	36	43	16	0	0	0	0	0	0	0	0	0	0	0	0	0	
TOTAL	160	913	294	350			74					20000				21		

